unix,open,high,low,close
1609459140,28982.44,29024.59,28969.83,28992.79
1609459080,29044.79,29048.62,29000.12,29000.12
1609459020,29039.53,29048.63,29023.26,29044.79
1609458960,29052.02,29059.42,29039.28,29039.53
1609458900,29036.1,29052.02,29025.78,29052.02
1609458840,29049.51,29052.03,29032.57,29036.1
1609458780,29038,29049.51,29021.56,29049.51
1609458720,29006.61,29037.19,29003.63,29021.56
1609458660,29014.3,29030.83,29000,29006.61
1609458600,29000.76,29025.55,28999.3,29014.32
1609458540,28988.99,29023.61,28979.58,29023.61
1609458480,28973.25,28989.05,28970.69,28988.99
1609458420,28975.4,28988.8,28943.94,28961.01
1609458360,28874.26,28971.5,28874.26,28964.38
1609458300,28887.99,28898.45,28843.74,28898.45
1609458240,29007.87,29007.87,28878.35,28904.58
1609458180,29015.43,29016.41,28980.01,28997.53
1609458120,29037.03,29054.25,29015,29027.68
1609458060,29040.23,29056.19,29031.1,29056.19
1609458000,29050.59,29056.96,29036.57,29042.53
1609457940,29017.1,29050.6,29008.45,29050.59
1609457880,29016.23,29017.1,28995.47,29017.1
1609457820,29049.58,29054.25,29000,29000
1609457760,29025.51,29051,29025.51,29049.59
1609457700,29021.32,29038.45,29021.32,29025.14
1609457640,29042.4,29042.4,29020.76,29038.26
1609457580,29018.05,29040.97,28999.29,29040.97
1609457520,29040.88,29040.98,28975.18,29013.45
1609457460,29019.84,29031.45,28992.78,29031.45
1609457400,29059.81,29059.81,28964.26,28998.23
1609457340,29048.31,29064.76,29037.87,29062.81
1609457280,29019.7,29049.38,29012.62,29037.79
1609457220,29021.18,29037.89,29001.47,29019.7
1609457160,29065.36,29065.39,29000,29042.59
1609457100,29071.43,29090.15,29049.87,29049.87
1609457040,29065.72,29082.27,29064.11,29071.42
1609456980,29059.68,29076.65,29055.21,29067.36
1609456920,29091.86,29091.86,29056.57,29059.68
1609456860,29140.07,29155.41,29084.83,29091.86
1609456800,29153.71,29156.75,29137.15,29156.65
1609456740,29136.86,29149,29132.78,29149
1609456680,29139.55,29147.28,29122.73,29125.95
1609456620,29128.29,29147.3,29128.29,29139.55
1609456560,29125,29142.21,29115.61,29119.51
1609456500,29134.43,29143.6,29109.75,29125
1609456440,29117.5,29137.72,29113.67,29134.43
1609456380,29149,29153.84,29117.5,29117.5
1609456320,29112.96,29144.05,29101.46,29136.86
1609456260,29086.59,29112.1,29075.35,29112.1
1609456200,29098.67,29100,29083.58,29100
1609456140,29092.04,29093.14,29054.65,29084.48
1609456080,29078.23,29100,29067.2,29100
1609456020,29064.99,29089.99,29050.49,29078.23
1609455960,29059.24,29077.94,29043.69,29057.29
1609455900,29091.85,29100,29023.8,29077.18
1609455840,29039.44,29084.48,29032.96,29084.48
1609455780,29031.49,29075.64,29019.61,29054.15
1609455720,29051.5,29051.79,28956.89,29031.49
1609455660,29111.25,29111.25,29032.19,29032.19
1609455600,29135.25,29161.46,29084.48,29086.47
1609455540,29182.08,29185.49,29119.39,29144.56
1609455480,29177.82,29190.64,29166.04,29184.22
1609455420,29168.5,29187.86,29159.63,29166.02
1609455360,29164.52,29177.29,29152,29168.5
1609455300,29159.12,29177.95,29147.84,29151.29
1609455240,29166.77,29179.67,29147.57,29147.73
1609455180,29168.98,29170.57,29148.93,29154.35
1609455120,29165.56,29170.85,29142.69,29157.04
1609455060,29140,29168.5,29140,29155.56
1609455000,29148.23,29165.66,29139.05,29165.66
1609454940,29137.42,29159.52,29137.42,29159.52
1609454880,29128.83,29159.52,29128.83,29159.52
1609454820,29145.85,29162.16,29128.78,29128.82
1609454760,29167.84,29171.81,29128.77,29128.77
1609454700,29171.55,29181.73,29151.41,29181.73
1609454640,29166.73,29171.55,29137.29,29169.04
1609454580,29158.79,29182.84,29134.69,29161.86
1609454520,29167.81,29182.74,29153.52,29182.74
1609454460,29171.83,29187.65,29148.05,29182.38
1609454400,29163.64,29170.44,29131.5,29144.94
1609454340,29188.19,29191.6,29157.24,29157.24
1609454280,29175.25,29190.45,29164.92,29190.45
1609454220,29140.58,29167.64,29140.58,29151.53
1609454160,29156.65,29156.75,29137.5,29156.75
1609454100,29127.13,29156.75,29127.13,29156.65
1609454040,29148.26,29148.26,29127.08,29133.1
1609453980,29100,29152.08,29098.55,29122.69
1609453920,29092.46,29100,29077.37,29100
1609453860,29100,29100,29092.45,29092.46
1609453800,29103.67,29124.89,29100,29100
1609453740,29134.25,29134.25,29103.66,29103.67
1609453680,29153,29156.75,29134.24,29134.27
1609453620,29134.22,29156.75,29127.81,29156.75
1609453560,29134.02,29156.75,29132.36,29134.12
1609453500,29141.3,29146,29121.97,29146
1609453440,29121.8,29141.42,29107.86,29141.3
1609453380,29117.55,29121.8,29093.38,29121.8
1609453320,29116.01,29116.1,29089.7,29112.97
1609453260,29095.01,29109.9,29050.87,29109.9
1609453200,29095.01,29115.99,29095.01,29095.01
1609453140,29117.46,29117.46,29094.74,29109.6
1609453080,29112.02,29116.21,29093.66,29094.66
1609453020,29087.58,29113.47,29087.58,29113.47
1609452960,29099.17,29114.92,29086.94,29108.9
1609452900,29082.29,29100,29082.29,29098.99
1609452840,29088.9,29100,29064.22,29082.29
1609452780,29033.3,29088.84,29033.22,29088.84
1609452720,28995.42,29061.12,28995.42,29033.2
1609452660,29017.61,29017.61,28993.87,29010.75
1609452600,29017.95,29017.95,28989.16,29000
1609452540,28965.82,29017.95,28965.82,29004.07
1609452480,28948.03,28988.14,28948.03,28987.23
1609452420,28959.27,28966.03,28945.31,28948.02
1609452360,29028.19,29028.19,28945.26,28966.04
1609452300,29014.96,29036.28,29000.16,29033.04
1609452240,29039.78,29064.18,29000.05,29014.96
1609452180,29076.04,29082.92,29058.03,29064.18
1609452120,29064.63,29075.01,29042.09,29075.01
1609452060,29040.14,29058.96,29035.32,29058.94
1609452000,28987.6,29036.54,28987.6,29036.54
1609451940,29007.24,29014.75,28992.18,28992.18
1609451880,28991.57,29021.9,28991.57,29021.9
1609451820,29027.02,29035.45,28986.94,28986.94
1609451760,29070.65,29070.65,29026.02,29046.05
1609451700,29035.35,29073.11,29033.88,29070.65
1609451640,29048.09,29056.34,29018.18,29056.34
1609451580,29089.45,29089.94,29029.09,29071.12
1609451520,29093.44,29120.16,29082.56,29097.1
1609451460,29102.17,29123.1,29091.43,29094.37
1609451400,29050,29124.79,29036.79,29123.33
1609451340,29007.47,29037.11,28993.3,29030.5
1609451280,29042.42,29049.87,28997.49,29030.72
1609451220,29028.12,29042.42,29028.11,29042.42
1609451160,29059.29,29059.29,29032.5,29041.1
1609451100,29061.38,29067.26,29051.41,29059.29
1609451040,29104,29104,29044.35,29072.44
1609450980,29103.19,29103.19,29085.77,29095.92
1609450920,29112.16,29112.16,29076.22,29098.44
1609450860,29091.63,29111.15,29091.63,29111.15
1609450800,29073.35,29108.22,29073.35,29108.22
1609450740,29089.26,29095.96,29056.93,29069.27
1609450680,29104.03,29109.72,29075.88,29089.26
1609450620,29113.75,29113.75,29084.1,29085.67
1609450560,29163.34,29163.34,29104.73,29131.04
1609450500,29166.66,29197.54,29138.75,29138.75
1609450440,29194.07,29215.89,29191.07,29198.99
1609450380,29199.12,29219.01,29176.51,29194.07
1609450320,29201.23,29209.25,29160.36,29193.43
1609450260,29172.7,29201.69,29155.76,29201.23
1609450200,29172.58,29172.7,29140,29172.7
1609450140,29159.07,29177.27,29145.27,29145.3
1609450080,29172.51,29172.51,29134.92,29148.68
1609450020,29156.06,29177.24,29139.08,29149.89
1609449960,29148.58,29177.27,29148.58,29171.83
1609449900,29141.09,29153.61,29127.64,29130.56
1609449840,29170.37,29170.38,29135.24,29141.09
1609449780,29115.77,29166.08,29115.77,29146.89
1609449720,29143.28,29143.28,29107.2,29115.77
1609449660,29157.31,29178.82,29143.78,29169.38
1609449600,29190.84,29191.74,29135.89,29135.89
1609449540,29156.75,29191.74,29141.38,29191.74
1609449480,29147.57,29156.75,29121.68,29141.19
1609449420,29098.68,29156.72,29098.68,29156.72
1609449360,29100,29116.61,29090.21,29115.06
1609449300,29099.89,29099.99,29073.45,29098.48
1609449240,29078.12,29099.99,29050.4,29099.99
1609449180,29051.11,29084.29,29051.11,29078.12
1609449120,29081.49,29084.08,29046.9,29064.13
1609449060,29064.03,29084.4,29041.06,29084.4
1609449000,29049.66,29061.85,29039.6,29061.85
1609448940,29029.87,29049.67,29003.55,29049.67
1609448880,29029.89,29029.89,29000,29029.89
1609448820,28995.03,29030.2,28995.03,29017.4
1609448760,28996.62,29022.97,28976.27,29007.71
1609448700,29029.18,29049.93,28947.7,28995.97
1609448640,29030.37,29073.35,29027.5,29027.54
1609448580,29036.58,29059.54,29018.69,29059.54
1609448520,29110.57,29110.58,29033.4,29036.58
1609448460,29159.87,29180.94,29087.58,29110.57
1609448400,29200,29200,29141.89,29182.39
1609448340,29165.21,29200,29165.21,29198.34
1609448280,29118.28,29182.4,29118.27,29165.21
1609448220,29115.89,29143.68,29115.89,29135.31
1609448160,29105.38,29133.37,29105.38,29122.86
1609448100,29073.83,29121.8,29073.83,29099.48
1609448040,29099.98,29104.17,29073.86,29093.59
1609447980,29085.21,29100,29078.55,29100
1609447920,29049.61,29100,29041.87,29099.87
1609447860,28999.83,29052.03,28999.83,29038.94
1609447800,28970.54,29011.46,28970.53,29011.46
1609447740,28971.55,28989.3,28968.22,28984.27
1609447680,28997.91,28998.81,28970.11,28970.11
1609447620,29000,29013.9,28990,28997.7
1609447560,29001.26,29014.1,28994.65,29001.66
1609447500,29000,29014.13,28995.64,29001.05
1609447440,29008.91,29012.52,29000,29000
1609447380,29010.23,29023.08,29003.07,29019.95
1609447320,29000.54,29023.2,29000.54,29012.99
1609447260,29013.92,29022.79,29000,29014.52
1609447200,29001.56,29018.66,29001.56,29013.92
1609447140,29006.52,29017.62,29006.52,29014.11
1609447080,28998,29013.34,28994.3,29006.52
1609447020,28979.1,28998,28979.1,28998
1609446960,28978,28979.1,28966.02,28970
1609446900,28961.84,28978,28960.21,28978
1609446840,28970.68,28971.87,28950.32,28961.68
1609446780,28963.57,28973.82,28954.51,28954.51
1609446720,28963.31,28978.7,28956.86,28963.57
1609446660,28943.19,28963.22,28928.01,28963.22
1609446600,28960.1,28960.1,28936.84,28943.19
1609446540,28956.42,28982.41,28939.35,28966.89
1609446480,28952.64,28971.42,28950.85,28956.42
1609446420,28952.5,28961.34,28937.12,28961.34
1609446360,28976.38,28995.61,28946.18,28952.5
1609446300,28975.96,28988,28975.96,28976.38
1609446240,28965.78,28987.48,28965.77,28975.96
1609446180,28952.57,28988,28952.57,28965.78
1609446120,28954.55,28969.15,28942.16,28952.54
1609446060,28969.03,28987.25,28927.91,28961.44
1609446000,28978.54,28987.71,28969.03,28969.03
1609445940,28956.83,28987.55,28953.99,28987.55
1609445880,28996.81,29001.83,28974.43,28974.43
1609445820,28967.5,29001.68,28941.57,28980.98
1609445760,28955.7,28966.17,28927.35,28966.17
1609445700,29013.3,29036.67,28948.14,28970.29
1609445640,29018.98,29045.7,29000,29036.58
1609445580,29017.33,29027.39,29015.88,29027.39
1609445520,29026.34,29039.03,29013.31,29017.33
1609445460,29023.11,29032.19,29007.52,29013.33
1609445400,28993.1,29023.93,28987.26,29023.93
1609445340,28957.2,29010.38,28957.2,29003.79
1609445280,28970.97,28976.99,28949.58,28976.99
1609445220,28947.87,28972.88,28935.61,28972.88
1609445160,28942.86,28952.18,28925.82,28935.74
1609445100,28949.29,28950,28921.64,28933.91
1609445040,28947.59,28958.94,28933.23,28936.94
1609444980,28956.88,28962.93,28949.02,28954.89
1609444920,28970,28984.49,28945.81,28945.81
1609444860,28951.62,28969.24,28950.91,28961.92
1609444800,28949.71,28971.19,28934.74,28951.62
1609444740,28938.63,28964.64,28930.14,28949.03
1609444680,28921.54,28938.63,28910,28926.69
1609444620,28964.3,28969.28,28927.89,28927.89
1609444560,28949.7,28987.37,28934.02,28964.3
1609444500,29014.78,29023.2,28940.98,28961.53
1609444440,29017.74,29042.14,28989.03,29002.93
1609444380,29020.07,29045.7,29017.55,29044.66
1609444320,28982.1,29020.17,28957.76,28998.45
1609444260,28976.18,28989.72,28968.98,28982.23
1609444200,28986.12,28991.18,28952.73,28958.84
1609444140,28969.32,28995.32,28957.14,28993.06
1609444080,28941,28983.16,28940.24,28969.32
1609444020,28963.04,28963.04,28940.34,28957.07
1609443960,28969.88,28969.88,28946.96,28947
1609443900,28971.86,28976.59,28958.44,28969.88
1609443840,28977.86,28993.79,28947.84,28958.84
1609443780,28971.78,28991.64,28945.26,28981.49
1609443720,28980.06,28985.45,28962.29,28964.46
1609443660,28982.14,29002.23,28965.73,28994.49
1609443600,28989.66,28995,28973.01,28982.14
1609443540,28994.59,29005.18,28994.2,29002.56
1609443480,29013.38,29019.42,28997.01,28997.92
1609443420,29016.52,29016.52,28986.01,28999.27
1609443360,29001.97,29043.02,28996.04,28996.04
1609443300,29032.63,29032.63,29000,29010.15
1609443240,29036.9,29043.73,29012.4,29012.4
1609443180,29018.58,29052.03,29018.58,29041.01
1609443120,29017.21,29031.06,29008.91,29018.58
1609443060,29005.25,29017.21,28996.85,29017.21
1609443000,28984.33,29010.32,28980.01,29010.32
1609442940,28951.17,28989.78,28951.17,28984.38
1609442880,28932.95,28958.91,28932.44,28932.44
1609442820,28948.24,28958.04,28911.52,28954.28
1609442760,28979.39,28989.54,28948.24,28948.24
1609442700,28969.99,28989.55,28969.99,28989.55
1609442640,28969.55,28988.63,28961.42,28969.99
1609442580,28977.45,28989.78,28957.72,28982.77
1609442520,28982.44,28989.77,28963.62,28977.45
1609442460,28969.61,28982.44,28957.74,28970.05
1609442400,28938.68,28975,28936.86,28975
1609442340,28934.92,28954.4,28929.33,28929.33
1609442280,28919.12,28950,28909.63,28933.29
1609442220,28875.99,28926.19,28875.99,28925.1
1609442160,28870,28888.02,28851.46,28870.88
1609442100,28825.7,28882.59,28825.7,28882.59
1609442040,28880.25,28890.65,28822.71,28840
1609441980,28889.57,28908.43,28880.25,28880.25
1609441920,28885.56,28889.41,28872.35,28884.88
1609441860,28870.9,28898.57,28870.9,28885.56
1609441800,28874.75,28878.35,28853.73,28869.07
1609441740,28841.45,28888.17,28841.45,28869.3
1609441680,28835.65,28853.32,28835.65,28853.32
1609441620,28884.42,28886.94,28845.85,28853.22
1609441560,28853.89,28893.21,28841.08,28884.42
1609441500,28802.44,28853.89,28788.36,28852.47
1609441440,28805.63,28808.51,28776.17,28807.69
1609441380,28810.63,28817.79,28790.85,28807.63
1609441320,28852.26,28861.48,28812.6,28829.36
1609441260,28908.84,28928.51,28863.27,28863.27
1609441200,28912.47,28940,28896.36,28897.2
1609441140,28905.16,28926.11,28900,28920.98
1609441080,28919.48,28935.48,28891.43,28905.16
1609441020,28891,28935.48,28867.64,28919.48
1609440960,28897.37,28913.27,28874.11,28897.42
1609440900,28886.26,28909.11,28869.87,28888.69
1609440840,28839.32,28887.8,28839.32,28869.87
1609440780,28886.83,28886.83,28817.19,28838.89
1609440720,28888,28888,28849.53,28872.31
1609440660,28878.35,28888,28869.51,28875.14
1609440600,28877.13,28878.35,28851.65,28865.06
1609440540,28867.8,28878.35,28843.74,28862.96
1609440480,28824.48,28878.35,28824.48,28865.15
1609440420,28826.81,28843.73,28824.21,28824.48
1609440360,28805.92,28828.25,28805,28828.25
1609440300,28808.74,28843.74,28793.84,28793.84
1609440240,28798.22,28808.7,28768.99,28791.33
1609440180,28770.34,28816.48,28770.34,28778.68
1609440120,28794.62,28794.62,28767.43,28770.34
1609440060,28780.07,28795.74,28768.17,28771.44
1609440000,28803.51,28803.52,28780.07,28780.07
1609439940,28788.48,28803.14,28780.07,28789.36
1609439880,28799.4,28803.52,28779.72,28780.07
1609439820,28800.49,28809.01,28788.48,28788.48
1609439760,28792.03,28800.5,28766.64,28779.71
1609439700,28808.38,28808.38,28774.79,28775.88
1609439640,28808.69,28813.66,28786.43,28801.01
1609439580,28768.15,28800.7,28768.15,28786.03
1609439520,28784.17,28797.7,28761.02,28768.15
1609439460,28822.44,28824.47,28758.41,28768.41
1609439400,28785.67,28823.97,28772.91,28822.44
1609439340,28782.93,28791.94,28756.85,28777.63
1609439280,28774.36,28791.7,28759.78,28791.7
1609439220,28767.94,28774.46,28749.67,28749.67
1609439160,28764.67,28784.91,28759,28765.45
1609439100,28760.89,28784.81,28747.27,28763.25
1609439040,28783.37,28793.36,28750.02,28760.89
1609438980,28774.64,28797.71,28753.81,28766.42
1609438920,28754.89,28774.64,28752.72,28774.64
1609438860,28677.41,28755.13,28677.41,28744.81
1609438800,28704.15,28704.25,28647.55,28657.94
1609438740,28704.44,28705.7,28681.95,28704.14
1609438680,28705.7,28705.7,28691.84,28695.17
1609438620,28688.2,28705.7,28682.68,28692.2
1609438560,28674.55,28688.74,28665.74,28688.2
1609438500,28675,28700,28649.47,28649.53
1609438440,28679.77,28692.59,28667.64,28675
1609438380,28685.99,28687.88,28678.08,28679.77
1609438320,28687.72,28695.72,28650.08,28678.72
1609438260,28675.22,28703.92,28664.04,28687.14
1609438200,28631.17,28681.58,28631.17,28650.71
1609438140,28614.16,28645.9,28580.44,28631.17
1609438080,28614.67,28627.2,28589.94,28626.1
1609438020,28558.07,28607.52,28558.07,28607.52
1609437960,28553.86,28553.86,28521.97,28550.94
1609437900,28561.6,28571.2,28543.43,28561.6
1609437840,28574.28,28574.28,28542.68,28561.6
1609437780,28568.85,28582.13,28557.18,28562.96
1609437720,28600.38,28612.78,28540.64,28569.25
1609437660,28596.75,28602.62,28565.99,28600.37
1609437600,28592.09,28619.85,28554.55,28581.35
1609437540,28594.73,28599.82,28583.28,28599.82
1609437480,28591.34,28600,28576.17,28583
1609437420,28573.59,28595.75,28562.63,28575.54
1609437360,28630.62,28630.62,28571.38,28581.4
1609437300,28625.75,28640.07,28607.59,28621.17
1609437240,28665.26,28674.81,28617.43,28625.75
1609437180,28673.15,28700.87,28650,28661.6
1609437120,28667.27,28673.15,28650.01,28673.15
1609437060,28691.87,28691.87,28651.59,28670.57
1609437000,28719.83,28720.05,28691.87,28691.87
1609436940,28699.94,28735.56,28699.94,28735.56
1609436880,28703.58,28711.12,28689.64,28699.89
1609436820,28720.32,28722.58,28703.54,28703.55
1609436760,28740.05,28744.22,28715.72,28740.88
1609436700,28763,28763,28716.26,28729.44
1609436640,28704.37,28767.37,28704.36,28747.35
1609436580,28685.99,28717.55,28685.32,28705.34
1609436520,28657.78,28682.2,28653.48,28682.2
1609436460,28667.48,28667.6,28652.93,28652.94
1609436400,28647.57,28669.02,28642.51,28668.1
1609436340,28623.7,28647.57,28623.7,28647.57
1609436280,28608.48,28623.7,28596.57,28605.41
1609436220,28661.09,28661.09,28574.6,28598.72
1609436160,28669.51,28679.76,28650.36,28662.14
1609436100,28674.61,28694.77,28673.33,28673.33
1609436040,28655.4,28681.72,28645.56,28674.61
1609435980,28671.03,28671.78,28646.54,28655.4
1609435920,28671.98,28681.63,28651,28671.03
1609435860,28660,28688.61,28648.73,28671.78
1609435800,28671.68,28687.48,28643.22,28643.22
1609435740,28690.45,28711.78,28662.43,28671.68
1609435680,28681.29,28706.95,28669.66,28703.78
1609435620,28693,28710.41,28680.44,28681.29
1609435560,28687.43,28719.66,28682.85,28702.24
1609435500,28683.11,28705.7,28667.46,28705.7
1609435440,28650.84,28699.66,28620.33,28681.84
1609435380,28624.87,28650.84,28618.18,28634.86
1609435320,28581.81,28631.95,28581.81,28629.44
1609435260,28544.83,28581.81,28520.3,28581.81
1609435200,28550.6,28570.93,28539,28544.83
